"plotID","siteID","plant_SR_400","plant_H_400","tree_SR_400","tree_H_400","CHM_nni_3_2512m2","pc_skew_DBH_2512m2","z_ent1_ent2_2512m2","z_1m_mode_mean_2512m2","pc_ent1_01_2512m2","z_cc_1_3_2512m2","MAT","AET","MTCM","alpha","TSeas","PSeas","latitude","longitude"
"MLBS_028","MLBS",73,1.632,NA,NA,-1.95889905234299,-1.036,1.71500328840031,21.78,0.910618501875751,0.943381822436657,98,834,51.5,21.1713142401809,7560.04527132435,12.2264439463748,37.427896,-80.490554
"MLBS_029","MLBS",78,2.292,NA,NA,-2.00699899683778,0.247,1.79496025697711,12.969,0.94863508669357,0.997167083295687,106,823,45,25.0126291885095,7604.01120998934,13.1972677783021,37.412017,-80.572258
"MLBS_030","MLBS",78,1.886,NA,NA,-1.93354401513191,-0.721,1.73999999991124,21.214,0.938815869450977,0.924716157504166,100,830,50,22.1081233622121,7567.03770083962,12.2264439463748,37.430103,-80.508172
"MLBS_061","MLBS",43,2.356,11,2.271,-2.00528549315751,-0.794,1.67206985381727,13.2,0.923067197389996,0.995284233702655,87,840,62,15.9945301945935,7465.26501443919,13.1972677783021,37.376631,-80.5198
"MLBS_063","MLBS",45,1.863,9,1.933,-2.00184223107286,-1.082,1.7519995256978,15.576,0.92589319470939,0.995284233702655,87,838,61,15.9945301945935,7469.25040678671,13.1972677783021,37.377486,-80.527932
"MLBS_064","MLBS",44,2.504,8,1.815,-2.00270507309595,-1.165,1.76699509793836,14.597,0.888975745799202,0.994341636607249,87,840,62,15.9945301945935,7465.26501443919,13.1972677783021,37.375562,-80.520174
"MOAB_003","MOAB",10,0.078,2,0.662,-1.33179105237253,1.172,1.79196632981775,2.01,0.738173884952795,0.536865069288936,94,307,86,56.4791542952263,9078.62759523111,27.0072503764655,38.261626,-109.347802
"MOAB_024","MOAB",12,0.6,3,0.83,-1.33578312562023,0.746,1.86553607144537,2.108,0.764382196402045,0.562604860038283,94,307,86,56.4791542952263,9078.62759523111,27.0072503764655,38.26229,-109.344633
"MOAB_025","MOAB",12,0.242,3,0.908,-1.27625719324442,1.049,1.8704793452904,1.935,0.722992107434898,0.478636766693085,94,308,87,56.4791542952263,9077.7719001728,27.0072503764655,38.26937,-109.347608
"MOAB_026","MOAB",14,0.307,NA,NA,-1.36667327913453,0.773,1.94595878397187,2.124,0.760629058971982,0.474826195927481,95,301,85,56.4791542952263,9094.00310467385,27.0072503764655,38.275017,-109.346441
"MOAB_028","MOAB",16,1.439,NA,NA,-1.38072985625043,1.285,1.91964494928282,2.233,0.754764517153506,0.591959500540977,98,294,83,56.7935214000535,9114.42402137266,27.0072503764655,38.270215,-109.350313
"MOAB_029","MOAB",30,1.86,NA,NA,-1.3817641819996,0.82,1.97977828521993,2.634,0.75118569527789,0.522002842168325,95,301,85,56.4791542952263,9094.00310467385,27.0072503764655,38.275589,-109.348839
"NIWO_001","NIWO",24,0.356,2,0.39,-1.79820094982853,0.36,1.76899395924072,6.302,0.806591392418265,0.810153005206766,2,559,164.333333333333,24.0312474402072,7617.00629212939,31.000539553403,40.041034,-105.560474
"NIWO_002","NIWO",17,0.622,3,0.338,-1.88486455432318,-0.447,1.72600053774976,8.878,0.812925881585671,0.874997273505125,10,549,152,29.9938943468702,7672.00000661844,32.0001518085323,40.03929,-105.547048
"NIWO_004","NIWO",35,1.536,4,0.99,-1.4133167747326,1.146,2.05656572890833,3.537,0.708528708694144,0.473562969189534,-7,539,166,20.2536812129664,7562.04301382396,30.0013116931472,40.043059,-105.581501
"NIWO_005","NIWO",27,1.151,3,1.018,-1.49689066762862,1.097,2.01607764337268,3.906,0.75118569527789,0.592752074614453,-6,539,166,20.2536812129664,7567.03770083962,31.000539553403,40.043662,-105.569891
"NIWO_007","NIWO",29,1.285,3,0.667,-1.81405681354676,0.261,1.78997001415138,7.904,0.832602618817805,0.812135959173887,2,559,159,24.0312474402072,7617.00629212939,31.000539553403,40.037963,-105.563834
"NIWO_009","NIWO",23,1.149,2,0.62,-1.64169021132025,1.308,1.82286551249466,5.024,0.754043471631171,0.707192225980071,-6,540,167,20.2536812129664,7571.03377990529,32.0001518085323,40.045049,-105.560411
"NIWO_010","NIWO",11,1.419,3,0.71,-1.75830842119614,0.448,1.88528215662233,6.291,0.812925881585671,0.779620981231233,1,556,159,23.0621972883901,7605.01076310024,30.0013116931472,40.037194,-105.568794
"NIWO_011","NIWO",14,0.861,3,1.039,-1.78541887228911,0.527,1.78797341978733,6.907,0.80391420559077,0.798285524567101,6,563,156,25.0126291885095,7642.00130354442,32.0001518085323,40.035326,-105.554902
"NIWO_012","NIWO",11,0.832,3,0.986,-1.77081522519497,-0.045,1.85365520920298,9.837,0.857043612182893,0.785496491710491,2,559,159,24.0312474402072,7617.00629212939,31.000539553403,40.034769,-105.559629
"NIWO_014","NIWO",30,1.148,3,0.441,-1.53535345476941,1.119,1.90691267854466,4.529,0.779271415677204,0.615364348966792,-3,549,163,22.1081233622121,7597.01468891192,32.0001518085323,40.050779,-105.548151
"NIWO_015","NIWO",34,1.178,2,0.643,-1.64247877675995,0.652,1.70201190190371,7.667,0.779271415677204,0.67807880478466,1,556,159,23.0621972883901,7605.01076310024,30.0013116931472,40.04011,-105.57266
"NIWO_016","NIWO",29,2.022,4,0.699,-1.83700081652179,0.168,1.81191177287244,6.206,0.819377970224124,0.856000193556368,8,556,154,27.0003001289592,7657.0002622398,32.0001518085323,40.048377,-105.542505
"NIWO_017","NIWO",18,1.151,3,0.583,-1.6984664038731,0.411,1.80892222767635,6.055,0.789190674817325,0.723022347789233,-6,540,163,20.2536812129664,7571.03377990529,32.0001518085323,40.042252,-105.565951
"NIWO_019","NIWO",35,1.269,NA,NA,-1.79425706535501,0.546,1.82386064939761,7.246,0.857043612182893,0.802235261634235,8,556,154,27.0003001289592,7657.0002622398,32.0001518085323,40.046996,-105.547411
"NIWO_020","NIWO",21,1.013,NA,NA,-1.89769038734567,-0.203,1.66609021766937,8.399,0.80391420559077,0.885983619253261,6,563,156,25.0126291885095,7642.00130354442,32.0001518085323,40.0413,-105.554781
"NIWO_021","NIWO",15,0.533,NA,NA,-1.87096168815649,-0.561,1.65513711880196,9.722,0.772094080049527,0.854000486329422,10,549,149.5,29.9938943468702,7672.00000661844,32.0001518085323,40.040801,-105.543482
"NIWO_022","NIWO",12,0.806,NA,NA,-1.68626023599132,0.186,1.82386064939761,8.506,0.812013593589683,0.70811669732349,6,563,156,25.0126291885095,7642.00130354442,32.0001518085323,40.038857,-105.557196
"NIWO_040","NIWO",32,1.392,2,0.671,-1.74407638351822,0.551,1.8417521102446,8.6,0.82499613234995,0.748631118021173,-8,535,168,20.2536812129664,7550.05774828804,29.0026001155637,40.046551,-105.584709
"ONAQ_010","ONAQ",36,2.708,2,0.637,-1.25694298882291,0.846,1.72700042513173,2.023,0.757675324511126,0.45989357983074,87,353,88,54.4407110035601,9266.28842273411,15.146504841854,40.201042,-112.497129
"ONAQ_017","ONAQ",38,2.678,2,0.136,-1.4670004463115,0.975,1.91768866847408,3.497,0.722388113459701,0.543366975992112,89,337,86,55.1510778625434,9286.73278824719,15.146504841854,40.190515,-112.51523
"ONAQ_021","ONAQ",23,2.251,2,0.505,-1.3779919073282,1.224,1.86751389877442,3.492,0.746285037204211,0.466676826433103,83,361,92,54.0728494367596,9248.21394809388,16.1247053652256,40.154245,-112.542595
"ONAQ_028","ONAQ",30,1.964,NA,NA,-1.52257135717466,0.635,2.03969710374286,3.569,0.825939954064227,0.64562378161977,88,334,87,55.1510778625434,9289.17932978672,14.1706564616979,40.163267,-112.532581
"ONAQ_030","ONAQ",20,1.978,NA,NA,-1.35866280873215,1.215,1.986499251242,2.504,0.785840038065429,0.535431061864441,79,388,95,52.5084788294737,9209.33903567456,14.1706564616979,40.201643,-112.513698
"ONAQ_031","ONAQ",29,1.41,NA,NA,-1.41962786211789,1.166,1.98073933519044,2.97,0.781713856603901,0.563358407597469,85,354,90,54.4407110035601,9261.36676331824,15.146504841854,40.184455,-112.523902
"ONAQ_073","ONAQ",30,2.206,NA,NA,-1.35335845512668,1.044,1.83181748075934,2.697,0.749069872278874,0.524099806547596,90,330,85,55.1510778625434,9294.88227264722,15.146504841854,40.18095,-112.512558
"ORNL_001","ORNL",56,2.371,14,2.398,-1.99314011955866,0.237,1.80892222767635,14.801,0.964841253241611,0.996226050568607,150,970,3,23.0621972883901,7593.01696683449,20.0587983260573,35.930948,-84.271662
"ORNL_002","ORNL",46,1.548,6,0.944,-2.00442670632081,-0.921,1.72000164627623,24.048,0.902816808471839,0.997167083295687,149,967,3,23.0621972883901,7592.0175709037,20.0587983260573,35.980949,-84.21365
"ORNL_003","ORNL",76,2.809,14,2.215,-1.96534018625519,-0.44,1.76399652280226,19.154,0.967309739586953,0.968611761975503,148,969,3.25,22.1081233622121,7583.0236644936,19.072309930693,35.967016,-84.229854
"ORNL_004","ORNL",32,1.786,6,1.648,-2.00356656558331,-1.328,1.57993335602365,24.423,0.906729411323008,0.995284233702655,149,971,3,23.0621972883901,7583.0236644936,18.0877210999636,35.907944,-84.275214
"ORNL_006","ORNL",69,1.798,11,1.854,-2.00184223107286,-0.821,1.73700000269798,23.647,0.906729411323008,0.994341636607249,147,975,5,22.1081233622121,7581.02518641502,21.0470680067536,35.938087,-84.325464
"ORNL_007","ORNL",79,2.796,16,2.52,-2.00184223107286,-0.558,1.73300005675752,19.659,0.951258679605153,0.995284233702655,147,978,5,22.1081233622121,7577.02842311286,20.0587983260573,35.925081,-84.329973
"ORNL_008","ORNL",53,2.467,9,1.709,-2.00011250759454,-1.29,1.56228009185326,25.272,0.914481642800058,0.994341636607249,149,973,4,23.0621972883901,7595.01580052982,21.0470680067536,35.933531,-84.334026
"ORNL_009","ORNL",76,2.713,9,1.942,-1.97984040386071,-0.715,1.73100013020558,19.897,0.93517034281154,0.976289485525522,149,969,3.5,22.1081233622121,7593.01696683449,18.0877210999636,35.974904,-84.226626
"ORNL_010","ORNL",59,2.133,12,2.121,-2.00699899683778,-0.297,1.83181748075934,16.533,0.933333224092773,0.996226050568607,147,976,5,22.1081233622121,7579.02677218558,21.0470680067536,35.953307,-84.332168
"ORNL_012","ORNL",47,2.14,4,0.921,-2.00442670632081,-0.988,1.71600289855125,29.598,0.912553462850468,0.997167083295687,148,971,3,22.1081233622121,7585.02220511339,19.072309930693,35.952991,-84.250272
"ORNL_014","ORNL",72,2.358,11,1.954,-2.00614292400516,-1.213,1.68703280506111,26.663,0.918316540638674,0.995284233702655,149,974,4,22.1081233622121,7591.01818913577,20.0587983260573,35.939979,-84.305649
"ORNL_015","ORNL",68,2.511,NA,NA,-2.00184223107286,-0.578,1.7499997159841,20.529,0.936085344082365,0.995284233702655,149,969,3,22.1081233622121,7589.01946874324,19.072309930693,35.965463,-84.236993
"ORNL_017","ORNL",32,1.595,3,1.055,-1.99576474937312,-1.243,1.67705542768253,23.03,0.909648569200916,0.988669892252847,146,972,6,22.1081233622121,7580.02597123743,21.0470680067536,35.976845,-84.297431
"ORNL_018","ORNL",72,2.727,2,0.637,-1.99050360221319,-0.636,1.56815650263269,19.655,0.952127904707466,0.991509203527964,149,972,4,22.1081233622121,7587.02080696614,20.0587983260573,35.933929,-84.276978
"ORNL_019","ORNL",40,2.188,NA,NA,-1.99837741414213,-1.704,1.7010128852536,27.254,0.888975745799202,0.993398263224452,147,975,6,22.1081233622121,7575.03014050406,20.0587983260573,35.943431,-84.31456
"ORNL_027","ORNL",89,2.891,12,2.1,-1.97353545400931,-0.645,1.88823760144181,12.184,0.929631139678761,0.982971081049618,148,973,3.33333333333333,22.1081233622121,7577.02842311286,19.072309930693,35.917564,-84.265772
"ORNL_029","ORNL",108,3.157,24,2.823,-1.95053472845594,0.588,1.85860839749304,9.382,0.942422078484288,0.968611761975503,147,970,5,22.1081233622121,7579.02677218558,19.072309930693,35.95765,-84.261843
"ORNL_032","ORNL",64,2.2,8,1.441,-2.00356656558331,-0.4,1.7679945483845,14.32,0.914481642800058,0.994341636607249,149,975,3,22.1081233622121,7595.01580052982,21.0470680067536,35.944521,-84.326487
"ORNL_033","ORNL",77,1.79,13,2.187,-1.88783249098738,0.05,1.9575929532029,7.215,0.94863508669357,0.917799668513654,149,968,3,23.0621972883901,7590.0188216944,20.0587983260573,35.961718,-84.226799
"ORNL_035","ORNL",44,1.979,14,1.683,-2.00270507309595,-0.166,1.75599892334324,13.984,0.916402759611478,0.995284233702655,150,973,3,23.0621972883901,7606.01032824441,21.0470680067536,35.974771,-84.350404
"ORNL_040","ORNL",49,2.168,NA,NA,-2.00184223107286,-0.675,1.62236811608273,19.969,0.913518418304997,0.992454117528938,147,976,5,22.1081233622121,7585.02220511339,21.0470680067536,35.975905,-84.303477
"ORNL_046","ORNL",44,1.5,13,2.328,-2.00097804179177,-1.153,1.73100013020558,22.155,0.914481642800058,0.992454117528938,146,972,6,21.1713142401809,7570.03473333706,20.0587983260573,35.964418,-84.285882
"ORNL_049","ORNL",76,2.862,NA,NA,-2.00699899683778,-0.039,1.79496025697711,20.466,0.954719518402747,0.997167083295687,146,973,6,21.1713142401809,7569.03570452791,19.072309930693,35.964792,-84.278894
"ORNL_053","ORNL",65,2.407,11,1.997,-2.00699899683778,-1.1,1.644197903436,26.444,0.923067197389996,0.997167083295687,146,972,6,21.1713142401809,7570.03473333706,20.0587983260573,35.965252,-84.286859
"OSBS_001","OSBS",24,1.275,1,0,-1.97353545400931,0.118,1.75399926516091,14.949,0.908677051241989,0.966685659127651,205,1112,-81,26.0033836986803,5346.76121664616,40.9921042004843,29.704063,-82.008061
"OSBS_002","OSBS",82,2.259,2,0.54,-1.70377673080885,-0.445,1.67506093274473,13.473,0.735549322504971,0.702582818732783,206,1113,-82,25.0126291885095,5332.85568320799,40.9921042004843,29.703656,-81.958372
"OSBS_003","OSBS",38,0.941,5,1.244,-1.86198886337245,1.025,1.81987942290251,8.671,0.894931476481438,0.884985547120487,206,1111,-83,26.0033836986803,5328.23447640753,39.9949890937485,29.695023,-81.94563
"OSBS_004","OSBS",67,2.268,2,0.637,-1.69058958757251,-0.352,1.75699871850818,10.625,0.739500818778866,0.687076560809733,206,1110,-82,26.0033836986803,5329.55410981003,39.9949890937485,29.683403,-81.960448
"OSBS_005","OSBS",30,1.105,8,1.862,-1.8390003160878,-0.528,1.78298078604499,12.358,0.862016012728963,0.755355623621713,205,1111,-81,26.0033836986803,5350.74580344248,40.9921042004843,29.69516,-82.026036
"OSBS_006","OSBS",50,2.351,2,0.377,-1.51860947829412,-0.18,1.67705542768253,12.464,0.715887072409062,0.516453161508868,206,1111,-82,26.0033836986803,5334.17730920778,40.9921042004843,29.686609,-81.983001
